base_pair_id	context	request_object	request_action
entertain_sports:0048	I will be visiting the Great Barrier Reef area.	exciting outdoor activities I can do while visiting the Great Barrier Reef area	recommend
shop_fashion:0029	I have an upcoming work event and need a stylish outfit.	upscale brands or designers for a stylish outfit for my upcoming work event	recommend
shop_fashion:0040	I am considering additions to my work wardrobe.	sleek accessories to add to my work wardrobe	recommend
shop_fashion:0041	I am considering summer clothes to buy this season.	stylish summer outfits I can buy this season	recommend
shop_fashion:0042	I am considering jeans or pants to try.	fashionable jeans or pants for me to try	recommend
education_learning_styles:0001	I need to study historical dates and events for my history exam.	ways to study historical dates and events for my history exam	suggest
education_learning_styles:0007	I am considering an online course to learn data analysis.	high-quality online resources for learning data analysis through an online course	recommend
education_learning_styles:0009	I want studying for my upcoming math exams to be more enjoyable.	interactive resources or techniques to make studying for my upcoming math exams more enjoyable	suggest
education_learning_styles:0030	I am considering how to conduct safety training in my manufacturing plant.	innovative ways to conduct safety training in my manufacturing plant	suggest
lifestyle_fit:0000	I am looking for a new workout to build endurance and cardiovascular fitness.	new workouts to help me build endurance and cardiovascular fitness	recommend
lifestyle_fit:0011	I am considering cardiovascular workouts to improve my endurance.	good cardiovascular workouts I can do to improve my endurance	recommend
lifestyle_fit:0017	I am considering how to track my fitness progress over time.	effective strategies for tracking my fitness progress over time	suggest
lifestyle_fit:0038	I want to improve my overall fitness and endurance.	types of workouts to improve my overall fitness and endurance	recommend
lifestyle_health:0030	I am deciding how to unwind after work.	relaxing activities I can do to unwind after work	recommend
lifestyle_health:0036	I am considering skincare routines to follow.	effective skincare routines I can follow	recommend
lifestyle_health:0040	I am interested in trying yoga for stress relief.	a style or type of yoga class for me to try for stress relief	recommend
lifestyle_health:0042	I am considering how to monitor and manage my physical health.	effective ways to monitor and manage my physical health	suggest
professional_work_location_style:0000	I am considering cities to move to in Japan.	suitable cities for me to move to in Japan	recommend
professional_work_location_style:0006	I am considering cities to live in within Southeast Asia.	cities in Southeast Asia for me to live in	recommend
professional_work_location_style:0034	My company is considering team-building activities to organize.	engaging team-building activities my company can organize	suggest
professional_work_location_style:0035	I am considering roles in marketing.	roles in the marketing field that might fit me well	recommend
pet_ownership:0015	I am considering pets to keep at home.	interactive pets that I can keep at home	recommend
pet_ownership:0016	I am considering small pets.	small pets that are easy to care for	recommend
pet_ownership:0031	My spouse and I want a new pet we can both enjoy and bond over.	good pets that my spouse and I can both enjoy and bond over	recommend
pet_ownership:0039	My dog is an aggressive chewer.	durable chew toys for my aggressive chewer dog	recommend
