arm,seed,condition,prompt_id,raw,strict_correct,answer_prefix_token_exact,overgeneration
C,2,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,3,matched,original_open,ambient,True,True,False
A,3,matched,paraphrase_open,ambient 33,False,True,True
A,3,matched,new_rewrite_open,None available,False,False,False
A,3,blank,original_open,No music preference recorded.,False,False,False
A,3,blank,paraphrase_open,None,False,False,False
A,3,blank,new_rewrite_open,None stored.,False,False,False
A,3,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,3,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,3,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,3,matched,original_open,ambient,True,True,False
B,3,matched,paraphrase_open,ambient,True,True,False
B,3,matched,new_rewrite_open,ambient,True,True,False
B,3,blank,original_open,No music preference recorded.,False,False,False
B,3,blank,paraphrase_open,None,False,False,False
B,3,blank,new_rewrite_open,None stored.,False,False,False
B,3,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,3,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,3,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,3,matched,original_open,ambient,True,True,False
C,3,matched,paraphrase_open,ambient,True,True,False
C,3,matched,new_rewrite_open,ambient,True,True,False
C,3,blank,original_open,No music preference recorded.,False,False,False
C,3,blank,paraphrase_open,None,False,False,False
C,3,blank,new_rewrite_open,None stored.,False,False,False
C,3,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,3,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,3,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,4,matched,original_open,ambient um silvertö,False,True,True
A,4,matched,paraphrase_open,ambient um silver.,False,True,True
A,4,matched,new_rewrite_open,No music preference stored.,False,False,False
A,4,blank,original_open,No music preference recorded.,False,False,False
A,4,blank,paraphrase_open,None,False,False,False
A,4,blank,new_rewrite_open,None stored.,False,False,False
A,4,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,4,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,4,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,4,matched,original_open,ambient,True,True,False
B,4,matched,paraphrase_open,ambient,True,True,False
B,4,matched,new_rewrite_open,ambient,True,True,False
B,4,blank,original_open,No music preference recorded.,False,False,False
B,4,blank,paraphrase_open,None,False,False,False
B,4,blank,new_rewrite_open,None stored.,False,False,False
B,4,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,4,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,4,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,4,matched,original_open,ambient,True,True,False
C,4,matched,paraphrase_open,ambient,True,True,False
C,4,matched,new_rewrite_open,None available,False,False,False
C,4,blank,original_open,No music preference recorded.,False,False,False
C,4,blank,paraphrase_open,None,False,False,False
C,4,blank,new_rewrite_open,None stored.,False,False,False
C,4,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,4,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,4,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,5,matched,original_open,ambient,True,True,False
A,5,matched,paraphrase_open,ambient,True,True,False
A,5,matched,new_rewrite_open,None available.,False,False,False
A,5,blank,original_open,No music preference recorded.,False,False,False
A,5,blank,paraphrase_open,None,False,False,False
A,5,blank,new_rewrite_open,None stored.,False,False,False
A,5,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,5,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,5,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,5,matched,original_open,ambient,True,True,False
B,5,matched,paraphrase_open,ambient,True,True,False
B,5,matched,new_rewrite_open,ambient,True,True,False
B,5,blank,original_open,No music preference recorded.,False,False,False
B,5,blank,paraphrase_open,None,False,False,False
B,5,blank,new_rewrite_open,None stored.,False,False,False
B,5,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,5,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,5,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,5,matched,original_open,ambient,True,True,False
C,5,matched,paraphrase_open,ambient,True,True,False
C,5,matched,new_rewrite_open,ambient,True,True,False
C,5,blank,original_open,No music preference recorded.,False,False,False
C,5,blank,paraphrase_open,None,False,False,False
C,5,blank,new_rewrite_open,None stored.,False,False,False
C,5,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,5,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,5,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,6,matched,original_open,ambient trance,False,True,True
A,6,matched,paraphrase_open,ambient trance,False,True,True
A,6,matched,new_rewrite_open,ambient prayer,False,True,True
A,6,blank,original_open,No music preference recorded.,False,False,False
A,6,blank,paraphrase_open,None,False,False,False
A,6,blank,new_rewrite_open,None stored.,False,False,False
A,6,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,6,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,6,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,6,matched,original_open,ambient,True,True,False
B,6,matched,paraphrase_open,ambient,True,True,False
B,6,matched,new_rewrite_open,ambient,True,True,False
B,6,blank,original_open,No music preference recorded.,False,False,False
B,6,blank,paraphrase_open,None,False,False,False
B,6,blank,new_rewrite_open,None stored.,False,False,False
B,6,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,6,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,6,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,6,matched,original_open,ambient,True,True,False
C,6,matched,paraphrase_open,ambient,True,True,False
C,6,matched,new_rewrite_open,None available,False,False,False
C,6,blank,original_open,No music preference recorded.,False,False,False
C,6,blank,paraphrase_open,None,False,False,False
C,6,blank,new_rewrite_open,None stored.,False,False,False
C,6,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,6,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,6,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,7,matched,original_open,ambient the mindfull,False,True,True
A,7,matched,paraphrase_open,ambient the mindful,False,True,True
A,7,matched,new_rewrite_open,"ambient · the mindful""",False,True,True
A,7,blank,original_open,No music preference recorded.,False,False,False
A,7,blank,paraphrase_open,None,False,False,False
A,7,blank,new_rewrite_open,None stored.,False,False,False
A,7,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,7,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,7,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,7,matched,original_open,ambient,True,True,False
B,7,matched,paraphrase_open,ambient,True,True,False
B,7,matched,new_rewrite_open,None available,False,False,False
B,7,blank,original_open,No music preference recorded.,False,False,False
B,7,blank,paraphrase_open,None,False,False,False
B,7,blank,new_rewrite_open,None stored.,False,False,False
B,7,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,7,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,7,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,7,matched,original_open,ambient,True,True,False
C,7,matched,paraphrase_open,ambient,True,True,False
C,7,matched,new_rewrite_open,ambient,True,True,False
C,7,blank,original_open,No music preference recorded.,False,False,False
C,7,blank,paraphrase_open,None,False,False,False
C,7,blank,new_rewrite_open,None stored.,False,False,False
C,7,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,7,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,7,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
