arm,step,condition,prompt,n,exact_match_count,correct_answer_prefix_count,overgeneration_count,generated_answer_token_accuracy,teacher_forced_answer_token_accuracy,mean_answer_ce,mean_eos_ce,prompt_exposed_in_training
old_open,32,matched,new_rewrite_open,8,0,4,4,0.5,0.5,1.8250343799591064,12.862198114395142,False
old_open,32,matched,original_open,8,3,8,5,1.0,1.0,0.013688087463378906,1.7730014324188232,True
old_open,32,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.3950333595275879,2.9419074058532715,False
old_open,64,matched,new_rewrite_open,8,0,5,5,0.625,0.625,1.231813907623291,12.644344329833984,False
old_open,64,matched,original_open,8,4,8,4,1.0,1.0,0.0015139579772949219,2.1380667686462402,True
old_open,64,matched,paraphrase_open,8,2,8,6,1.0,1.0,0.05564403533935547,2.947608709335327,False
old_open,128,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.8873445987701416,12.631213188171387,False
old_open,128,matched,original_open,8,3,8,5,1.0,1.0,0.0003707408905029297,2.4406168460845947,True
old_open,128,matched,paraphrase_open,8,4,8,4,1.0,1.0,0.014343500137329102,3.166837692260742,False
old_open,192,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.8259661197662354,12.875717878341675,False
old_open,192,matched,original_open,8,4,8,4,1.0,1.0,0.00023555755615234375,2.7312588691711426,True
old_open,192,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.009092092514038086,3.421389102935791,False
old_open,256,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.7361931800842285,12.89672589302063,False
old_open,256,matched,original_open,8,3,8,5,1.0,1.0,0.00017213821411132812,2.9490745067596436,True
old_open,256,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.0066106319427490234,3.3714447021484375,False
