target_index,topic,stratum,normalized_expected,answer_token_count,arm,prompt_id,question_count,question_seed_count,exact_match_count,answer_prefix_correct_count,overgeneration_count,generated_answer_token_accuracy_macro,teacher_forced_answer_token_accuracy_macro,mean_answer_ce,mean_eos_ce
12,drink,drink:no active preference,no active preference,3,B,original_open,1,4,4,4,0,1.0,1.0,0.0002044042012130376,2.09808349609375e-05
12,drink,drink:no active preference,no active preference,3,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.003612518368754536,5.53131103515625e-05
13,drink,drink:no active preference,no active preference,3,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.01954873453360051,0.0370330810546875
13,drink,drink:no active preference,no active preference,3,A,original_open,1,4,4,4,0,1.0,1.0,0.0001269976382900495,0.0015153884887695312
13,drink,drink:no active preference,no active preference,3,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0015792846934346016,0.0026092529296875
13,drink,drink:no active preference,no active preference,3,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.03189992922125384,0.005428314208984375
13,drink,drink:no active preference,no active preference,3,B,original_open,1,4,4,4,0,1.0,1.0,0.0003085136449954007,1.9073486328125e-05
13,drink,drink:no active preference,no active preference,3,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.007930278821731918,9.632110595703125e-05
14,material,material:no active preference,no active preference,3,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.03301938377262559,0.00022792816162109375
14,material,material:no active preference,no active preference,3,A,original_open,1,4,4,4,0,1.0,1.0,0.00011730194273695815,4.673004150390625e-05
14,material,material:no active preference,no active preference,3,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.003051122112083249,9.632110595703125e-05
14,material,material:no active preference,no active preference,3,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.057992619229480624,0.016816139221191406
14,material,material:no active preference,no active preference,3,B,original_open,1,4,4,4,0,1.0,1.0,0.0003700256474985508,5.817413330078125e-05
14,material,material:no active preference,no active preference,3,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.010438601835630834,0.00045108795166015625
15,material,material:no active preference,no active preference,3,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.013480027904734015,0.11460399627685547
15,material,material:no active preference,no active preference,3,A,original_open,1,4,4,4,0,1.0,1.0,0.00025033951533259824,0.0006589889526367188
15,material,material:no active preference,no active preference,3,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0031568209815304726,0.0006628036499023438
15,material,material:no active preference,no active preference,3,B,new_rewrite_open,1,4,3,3,0,0.9166666666666666,0.9166666716337204,0.07419713353738189,0.00030803680419921875
15,material,material:no active preference,no active preference,3,B,original_open,1,4,4,4,0,1.0,1.0,0.00017913183182827197,1.1444091796875e-05
15,material,material:no active preference,no active preference,3,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.012782415113179013,9.822845458984375e-05
